Matching cycle duration: 2 microseconds
Matched Trades: 17
Trades:
Qty | Px    | B/CId | S/CId
13  | 4988  | 90552 | 61569
12  | 4797  | 48994 | 61569
6   | 4797  | 48994 | 17091
8   | 4797  | 48994 | 50535
10  | 4797  | 48994 | 87708
8   | 4705  | 35853 | 87708
18  | 3592  | 57330 | 87708
2   | 3592  | 57330 | 74124
22  | 3592  | 57330 | 48948
25  | 3286  | 27873 | 48948
7   | 3286  | 27873 | 47469
8   | 2974  | 93704 | 47469
9   | 2836  | 58928 | 47469
25  | 2836  | 58928 | 56970
1   | 2817  | 17602 | 56970
27  | 2817  | 17602 | 12676
3   | 2583  | 63753 | 12676
-------------------Orderbook-------------------
ClientId   | B/S        | Qty        | Px        
45369      | BUY        | 44         | 74        
2240       | BUY        | 42         | 280       
27753      | BUY        | 1          | 425       
51815      | BUY        | 46         | 677       
92029      | BUY        | 42         | 1108      
19330      | BUY        | 8          | 1316      
35183      | BUY        | 45         | 1615      
19053      | BUY        | 44         | 1980      
95521      | BUY        | 7          | 2235      
12868      | BUY        | 35         | 2565      
63753      | BUY        | 46         | 2583      
-----------------------------------------------
40244      | SELL       | 2          | 4448      
25065      | SELL       | 12         | 4423      
85435      | SELL       | 15         | 4370      
14354      | SELL       | 19         | 4360      
71078      | SELL       | 23         | 4281      
64834      | SELL       | 9          | 4106      
75660      | SELL       | 36         | 3845      
97453      | SELL       | 23         | 3546      
10883      | SELL       | 8          | 3221      
4892       | SELL       | 8          | 2622      
ClientId   | B/S        | Qty        | Px        
-----------------Orderbook End-----------------
